timestamp,rpm,speed_kmh,lat,lon,afr,note
2026-01-18T18:35:17.339345+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:17.439429+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:17.539515+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:17.639612+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:17.739706+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:17.839792+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:17.939877+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.039968+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.140048+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.240128+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.340211+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.440314+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.540410+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.640704+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.740862+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.840938+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:18.941080+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:19.041162+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:19.141229+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:19.241293+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:19.341424+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:19.441483+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:19.541568+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
2026-01-18T18:35:19.641649+00:00,1250.0,0.0,0,0,14.7,1:50_MIX
